motorcycle	sex	age	locker	satisfaction	smart	interesting	benefits	amount of money	useful
Yes	Man	20	Yes	3	No	Yes	GPS, Notification of any violation	80-100	5
No	Man	22	No						
No	Man	22	No			Maybe	Nearby Parking spaces, Notification of any violation	50-80	4
Yes	Woman	24	Yes	3	No	Yes	Notification of any violation	50-80	5
No	Woman	24	No	1	No	No		30-50	2
No	Man	24	Yes	4	No	Yes	GPS, Notification of any violation, Electronic form of necessary documents (driving license, security, etc.)	30-50	5
No	Man	22	Yes	4	No	Yes	Nearby Parking spaces	30-50	5
No	Man	24	Yes	4	No	Maybe	Notification of any violation	50-80	4
No	Woman	22	Yes	3	No	Yes	GPS, Nearby Parking spaces, Notification of any violation, Electronic form of necessary documents (driving license, security, etc.)	50-80	4
no	Man	21	Yes	3	No	Maybe	GPS	30-50	3
